name,price
包邮 量化投资 以Python为工具 Python语言处理 数据Python金融 量化投资,65.80
Python编程基础 闫俊伢 9787115434142,25.65
Python全栈开发实践入门 python教程书籍 python全栈开发工程师前端后端开发,67.47
数据科学导论：Python语言实现,41.20
PYTHON高性能编程+流畅的Python  Python 学习入门到进阶 Python,175.60
包邮  图灵教育 Python基础教程 第3版 Python入门版,72.20
Python和Pygame游戏开发指南 计算机与互联网 书籍,37.20
流利的Python语言(影印版)(英文版),79.06
Python学习手册,86.90
Python 3学习笔记（上卷）基于Python 3.6 Python 编程书籍,54.00
零基础入门学习Python 小甲鱼 9787302438205,31.00
Python爬虫开发与项目实战 范传辉编 计算机与互联网 书籍,57.70
精通Python设计模式,31.50
Python机器学习实践指南,43.24
正版现货 Python网络爬虫从入门到实践 零基础自学Python编程从入门到精通教程书籍,39.00
Python全栈开发实践入门 python教程书籍 python全栈开发工程师前端后端开发,67.47
Python与量化投资 从基础到实战 王小川Python量化投资策略分析技术工具书籍,73.80
Python可以这样学 9787302456469,46.90
scikit learn机器学习：常用算法原理及编程实战,48.90
Python全栈开发实践入门,54.40
Python科学计算(第2版)（附光盘）Python科学计算中常用的扩展库NumPy Sc,94.40
Python3网络爬虫开发实战 崔庆才Scrapy数据分析处理手册 数据抓取指南,73.80
Python程序设计教程(高等学校计算机科学与技术教材),29.30
Python自然语言处理,70.30
数据科学导论 Python语言实现 计算机与互联网 书籍,32.20
【Python书籍】零起点Python足彩大数据与机器学习实盘分析 何海群 Python,82.20
从Python开始学编程 Vamei 9787121301995,27.93
Python基础教程 第3版 图灵程序设计丛书 编程新手入门 软件工具 python,73.20
Python数据抓取技术与实战,35.00
自学Python 编程基础 科学计算及数据分析 Python数据建模基础教程书籍j3c,59.90
零基础学Python 附光盘python基础教程 零开始从入门到精通 源码py,59.00
机器人系统设计与制作：Python语言实现,49.60
包邮 流畅的Python python语言编程教程书籍 python代码大全,95.80
Python项目开发实战（第2版）,67.20
正版 Python核心编程 第3版,79.00
Python数据挖掘入门与实践 计算机与互联网 书籍,41.90
包邮 Python绝技：运用Python成为黑客+Python 黑帽子：黑客与渗透测试,100.00
Python程序设计案例教程 Python基础教程 适合零基础读者 也适合从事大数据方向研,48.00
Python编程快速上手 Python编程从入门到实践python3.0编程从入门到实践,45.50
Python与数据挖掘 张良均等 计算机与互联网 书籍,32.20
OpenCV算法精解 基于Python与C++ 张平编 计算机与互联网 书籍,50.60
机器学习系统设计：Python语言实现,49.60
精通Python设计模式,38.30
华章程序员书库·Python编程实战：运用设计模式、并发和程序库创建高质量程序,53.60
Python计算机视觉编程,67.00
Python 3网络爬虫开发实战,77.40
父与子的编程之旅：与小卡特一起学Python,58.70
Python 3网络爬虫开发实战,77.40
量化投资：以Python为工具,74.30
Python绝技：运用Python成为顶级黑客,62.40
从零开始学Python网络爬虫,44.60
父与子的编程之旅：与小卡特一起学Python,58.70
Python程序设计 第3版,58.70
Python自然语言处理,70.30
Python机器学习实践指南,58.70
Python编程 从入门到实践,62.00
Python科学计算(第2版)（附光盘）Python科学计算中常用的扩展库NumPy Sc,94.40
Python编程快速上手+核心编程(第3版) python3.0绝技核心编程基础教程书预售,125.80
Python地理空间分析指南（第2版）R3S,57.70
Python游戏编程入门,37.00
机器人系统设计与制作 Python语言实现 计算机与互联网 书籍,41.90
Python基础教程 第3版,89.00
包邮Python 3网络爬虫开发实战 预售,73.80
教孩子学编程Python语言版 少儿趣味编程 少儿游戏编程 青少年兴趣编程 Python,49.50
Python机器学习算法 Python语言编程教程书籍 python数据分析书籍,38.00
Python树莓派编程 沃尔弗拉姆多纳特 树莓派python开发教程书 树莓派入门教程,39.80
Python与数据挖掘,40.30
机器人 Python极客团队,47.40
Python网络编程 第三版,57.50
区域包邮贝叶斯思维:统计建模的Python学习法+统计思维：程序员数学之概率统计  2本,73.00
包邮 Python地理数据处理+Python地理空间分析指南 第2版,118.00
数字匠人：树莓派Python编程指南,48.70
软件架构：Python语言实现,68.30
Python即学即用,41.30
Python算法教程,58.70
3册 精通Python爬虫框架Scrapy+精通Scrapy网络爬虫+Python爬虫开发,143.80
流畅的Python 编程教程书籍 人民邮电出版社正版书籍,104.20
Python大战机器学习：数据科学家的个小目标 机器学习入门教程书籍,38.00
从问题到程序 用Python学编程和计算 裘宗燕 教材教辅与参考书计算机与互联网 书籍,45.40
Python编程-从入门到实践 从基本概念到完整项目开发 帮助零基础读者迅速掌握正版书籍,66.80
Python数据分析 计算机书籍 程序设计教程,47.20
Python新手使用Django架站的16堂课 可作为希望快速上手Python+Djang,71.20
Python机器学习实践指南,58.70
Python 语言构建机器学习系统 第2版（影印版）,55.30
贝叶斯方法 概率编程与贝叶斯推断,46.60
Python高效开发实战 Django Tornado Flask Twisted 刘长,60.50
Python高性能编程,57.67
包邮 Tensorflow：实战Google深度学习框架+Python机器学习及实践,97.00
Python编程基础与HTTP接口测试,31.90
OpenCV3计算机视觉Python语言实现（原书第2版）人脸检测与识别,36.60
笨办法 学Python 第3版 计算机程序设计 python基础教程python编程基础,36.00
OpenCV 3计算机视觉 Python语言实现(原书第2版) 等  书籍,32.20
Python自然语言处理 计算机与互联网 书籍,56.10
Python3.5从零开始学 刘宇宙编 计算机与互联网 书籍,38.40
Python高级编程,39.80
Python设计模式 第2版,30.70
父与子的编程之旅 与小卡特一起学Python 教孩子编程的图书 python编程入门教程,46.00
"贝叶斯思维 统计建模的Python学习法 [美]Allen B.Downey,许杨毅 97",27.93
Python与有限元 基于Python编程的有限元分析及应用扩展 裴尧尧等 计算机与互联,35.30
Python物理建模初学者指南,50.20
Python程序设计案例课堂,55.20
Selenium 2自动化测试实战+Web接口开发与自动化测试 基于Python语言,88.00
Python 3.5从零开始学,41.30
Python Cookbook（第3版）中文版,91.80
Python机器学习实践指南 直观的数据项目 高级机器学习方法 Python程序员 数据分,55.20
Python核心编程 第3版 英文版,99.00
Abaqus GUI程序开发指南 Python语言+ABAQUS Python二次开发攻略,88.80
Python数据科学手册 图灵程序设计丛书,82.60
包邮 Python游戏编程入门 +Python游戏编程快速上手 第4版 2本,89.00
"【北京发货】Python入门经典 [美]Katie Cunningham,李军,李强",31.80
Python数据科学手册,76.30
Selenium 2自动化测试实战基于Python语言,38.35
Python编程 从入门到实践 python3.5绝技核心编程基础教程网络爬虫入门,61.80
包邮 Python游戏编程快速上手 第4版 计算机网络 程序设计制作流程书 游戏编程入门,51.00
包邮 流畅的Python  语言编程教程书籍 python代码大全 爬虫Python,113.00
教孩子学编程 Python语言版+趣学Python+趣学JavaScript 教孩子学编程,132.80
爱上Python 一日精通Python编程  [Learn Python in One D,27.00
Python 网络爬虫实战,47.20
python编程从入门到实践 python学习手册 机器学习 编程语言零基础入门程序设计,162.50
Python数据可视化编程实战 计算机与互联网 书籍,34.20
机器学习 Python实践 魏贞原 Python机器学习入门图书 Python编程语言教程,44.20
包邮 零起点Python大数据与量化交易 Python量化投资 基础入门书籍,75.50
教孩子学编程（Python语言版）+趣学Python+父与子的编程之旅 与小卡特一起学Py,143.00
包邮PySpark实战指南 利用Python和Spark+Apache Spark机器学习,80.80
【虎彩 按需出版】Python高级编程 {法}Tarek Ziade 著 人民邮电出版社,67.50
中国高校创意创新创业教育系列丛书：Python学习从入门到实践,40.80
Effective Python 编写高质量Python代码的59个有效方法 计算机与互,39.40
Python核心编程（第二版）,73.87
从Python小白到爬虫高手（套装共2册）,100.30
新书数据结构 Python语言描述 Kenneth著  Python编程语言入门教,49.30
Python数据科学入门,41.70
Python程序设计教程,47.20
教孩子学编程Python语言版 python从入门到实践 python核心技术 pytho,39.50
Python网络爬虫从入门到实践 唐松陈智铨编 计算机与互联网 书籍,35.80
Python机器学习(影印版),59.20
Python新手使用Django架站的16堂课 可作为希望快速上手Python+Djang,71.20
Python自然语言处理+Python计算机视觉编程2本,113.00
Python Cookbook(中文版 第3版) 计算机与互联网 书籍 【新华书店正版书籍】,81.00
精通Python网络爬虫 核心技术 框架与项目实战 韦玮 计算机与互联网 书籍,48.70
Python网络编程(第3版) 计算机与互联网 书籍,56.10
Python基础教程（3版）图灵程序设计丛书,73.90
包邮 量化投资+零起点Python大数据与量化交易+机器学习快速入门 3本 语言编程书籍,191.80
Python基础教程(第2版修订版)程序设计丛书 python基础学习书籍 新华书店官方正版,78.21
Python数据科学指南,62.30
Python基础教程(第2版 修订版)+机器学习实战 python基础教程指南  Pyt,133.20
Python金融实战 Python金融大数据分析技术书籍 python基础教程书籍,58.40
流畅的Python python编程教程书籍 python代码大全 python入门到精通,108.00
包邮 Metasploit渗透测试指南（修订版）+Python 黑帽子 黑客与渗透测试,89.80
笨办法 学Python 第3版 计算机程序设计 python基础教程python编程基础,36.00
父与子的编程之旅 与小卡特一起学Python 中小学生编程 python编程入门教程 Py,60.66
Python高性能编程+流畅的Python python 2本 编程教程书籍,152.00
包邮 零起点TensorFlow快速入门+Python机器学习快速入门 2本,95.60
Python机器学习实践指南,46.90
Python程序设计案例教程 徐光侠等主编 计算机与互联网 书籍,45.40
包邮 贝叶斯思维:统计建模的Python学习法+利用Python进行数据分析+统计思维 P,147.80
机器学习实战（PYTHON基础教程指南）+机器学习（机器学习套装共两册）,122.70
Python Web开发实战,68.30
基于Python的Google App Engine编程,60.70
跟老齐学Python,44.90
Python程序设计(第3版),44.20
Python大战机器学习,43.50
Python程序设计案例教程,46.00
Head First Python(第二版),87.00
Python Web开发 测试驱动方法R3S,72.30
Python即学即用,39.50
Python学习,33.60
Raspberry Pi:Python编程入门,29.60
Python 3程序开发指南（第2版 修订版) python从入门到实践教程书籍 pyth,51.00
树莓派就这么玩 配视频教程 树莓派实战指南 树莓派Python编程指南 编程教程 程序设计,42.00
Python可以这样学 董付国 9787302456469 清华大学出版社,51.80
2K 9787111558804 Python机器学习 [美] 塞巴斯蒂安·拉施卡（Seb,61.60
2K 9787111563877 Python爬虫开发与项目实践 范传辉 机械工业出版社,61.60
正版现货 2K 9787111539896 Python即学即用 张燕妮 机械工业出版社,39.00
Python Web开发 测试驱动方法 计算机与互联网 书籍,72.30
深入浅出深度学习 原理剖析与Python实践 黄安埠 计算机与互联网 书籍,52.10
Python数据处理R3S,72.30
预售 Python核心编程第二版 预计4月上旬发货R3S,65.00
Python高性能编程R3S,57.70
Python物理建模初学者指南R3S,43.10
基于ArcGIS的Python编程秘笈(第2版)R3S,50.40
Python极客项目编程 开发有趣的极客项目 掌握实用的Python编程技能 R3S,50.40
Python贝叶斯分析R3S,50.37
Python编程 第2版R3S,65.00
Python数据科学指南R3S,57.70
Python 程序设计基础实战教程 大数据 函数的定义与调用 由浅入深实战qh3p,34.20
Python编程导论 第2版 Python3编程教程 Python程序设计算法 python r3c,51.90
Python漫游指南(影印版) 计算机与互联网 书籍,61.60
树莓派Python编程入门与实战（第2版）R3S,50.40
Python机器学习 预测分析核心算法R3S,50.37
Python数字信号处理应用 Python在DSP中应用教程书籍R3S,32.90
Python性能分析与优化 python语言编程入门书 Python程序设计教材 R3S,32.90
2K 9787111544340 数据科学导论：Python语言实现 (意)阿尔贝托·博斯,39.20
像计算机科学家一样思考Python,43.00
预售 Python神经网络编程,53.90
预售 Python 3爬虫 数据清洗与可视化实战+Python3网络爬虫开发实战 2本,105.60
Python极客项目编程,48.30
零起点Python大数据与量化交易,59.40
Python科学计算基础教程 计算机与互联网 书籍,37.20
教孩子学编程 Python语言版 全彩印刷 语言程序设计 9岁以上少儿趣味编程 r3c,43.10
精通Python设计模式R3S,32.90
Python程序设计教程,27.90
精通Python自然语言处理 计算机与互联网 书籍,39.50
Python机器学习(影印版) 计算机与互联网 书籍,59.20
Python程序设计开发宝典 董付国 计算机与互联网 书籍,47.60
Python物理学高效计算 [美]安东尼·斯科普斯(Anthony Scopatz) 凯,74.80
Python3爬虫 数据清洗与可视化实战+Python数据分析入门 从数据获取到可视化 dz4c,80.80
Python数据分析实战 计算机与互联网 书籍,59.30
Python并行编程参考手册(影印版) 计算机与互联网 书籍,46.20
精通Python自然语言处理,40.10
Java从入门到精通+C语言从入门到精通+Python编程从入门到实践 全3册 程序设计,153.00
预售Python编程快速上手让繁琐工作自动化+Python核心编程 第3版 全2册,139.10
图灵教育 Python数据科学手册 数据分析计算书籍 机器学习 NumPy数据存储 Ma,87.20
正版 python语言程序设计基础 第2版第二版 嵩天 礼欣 黄天羽 教育部大学计算机课程,31.20
Abaqus GUI程序开发指南 Python语言 贾利勇等编 计算机与互联网 书籍,39.50
Python+Spark 2.0+Hadoop机器学习与大数据实战,65.30
零起点Python足彩大数据与机器学习实盘分析,68.30
树莓派Python编程入门与实战(第2版),44.20
Python程序设计入门到实战 何敏煌 计算机与互联网 书籍,47.60
Python编程入门 全3册 Python编程从入门到实践 零基础入门学习 基础教程程序,160.90
Selenium自动化测试 基于Python语言+Selenium自动化测试之道+Web接,172.00
Python参考手册-(第4版.修订版)R3S,65.00
Python数据科学手册R3S,79.60
Python核心编程 第3版R3S,72.30
Python物理学高效计算R3S,72.30
Python地理数据处理R3S,57.70
自学Python 编程基础 科学计算及数据分析 Python数据建模基础教程书籍j3c,59.90
Python自然语言处理 python编程语言程序设计书 python自然语言处理R3S,65.00
Python面向对象编程指南R3S,57.70
Python游戏编程快速上手 R3S,50.40
BF【全新正版】/Python高手之路-(第3版)   R3S,40.20
"新华书店趣学Python编程  [美]Jason Briggs,R3S",32.90
“笨办法”学Python(第3版 附光盘1张)R3S,35.80
Python科学计算基础教程 python编程教程书籍 python数据分析可视化R3S,35.70
Python语言及其应用R3S,57.70
Python计算机视觉编程R3S,50.40
Python数据分析实战R3S,43.10
精通Python自然语言处理R3S,43.10
趣学Python 教孩子学编程 程序设计 少年趣味编程 计算机书 编程书籍 r3c,43.10
Python数据分析基础教程：NumPy学习指南(第2版)R3S,35.80
Python游戏编程入门 +Python游戏编程快速上手 第4版 2本 编程从入门到实践r4c,87.00
Python数字信号处理应用 Python在DSP中应用教程书籍 Python语言编程,32.20
Python网络爬虫实战 胡松涛编 计算机与互联网 书籍,40.70
区域包邮 灰帽黑客(第4版)+Python黑帽子:黑客与渗透测试编程之道 2本,101.00
算法图解 算法入门基础图书 代码示例基于Python 熟练掌握算法设计与分析正版书籍,39.00
包邮 跟老齐学Python：Django实战 +Python新手使用Django架站的,118.00
Python编程快速上手 让繁琐工作自动化 计算机与互联网 书箱|4971515,60.00
包邮 机器人制作实践指南+机器人系统设计与制作:Python语言实现 2本,97.00
异步图书 Python贝叶斯分析,53.90
Python高性能编程 深度学习,142.80
正版现货 Head First Python(第二版) （美）保罗·巴里（Paul Bar,108.80
包邮  Python新手使用Django架站的16堂课  Python入门教程书籍 Dj,63.90
包邮 精通Python爬虫框架Scrapy+精通Scrapy网络爬虫 2本,88.50
包邮Python机器学习基础教程Python机器学习算法教程书籍,59.00
"【北京发货】Python 3程序开发指南(第2版 修订版) [美]萨默菲尔德,王弘博,孙传",53.80
Selenium WebDriver3.0 自动化测试框架实战指南 python语言版,49.50
新书 零起点Python机器学习快速入门 何海群著 黄爱萍编,48.80
像计算机科学家一样思考Python（第2版）Python语言编程教程书籍 理解对象正版,41.00
Keras快速上手:基于Python的深度学习实战,47.40
爱上Python,25.00
正版 Python网络爬虫从入门到实践 零基础自学Python编程从入门到精通教程书籍,41.20
零基础入门学习Python,37.62
Python Web开发实战,73.50
PYTHON与机器学习实战 决策树.集成学习.支持向量机与神经网络算法详解及编程实现 决,42.80
Python新手使用Django架站的16堂课,58.80
OpenCV 3计算机视觉：Python语言实现（原书第2版）,35.00
Python可以这样学,44.80
精通Python网络爬虫：核心技术、框架与项目实战,48.30
包邮 Python高级编程（第2版）python3.5基础教程书籍 python编程书籍,66.60
Python数据可视化 计算机与互联网 书箱|5423396,45.50
利用Python进行数据分析,65.00
"Python生物信息学数据管理 (意)Allegra Via (阿莱格拉 维亚),卢宏超",41.40
Python自动化运维:技术与zui佳实践(刘天斯),51.80
正版 自学Python——编程基础、科学计算及数据分析李金Python初学者自学Pyth,61.00
深入浅出深度学习：原理剖析与Python实践 python机器学习入门教程书籍,55.80
现货 零基础入门学习Python 小甲鱼 Python3入门教程书籍,36.60
Python游戏编程快速上手(第4版) 计算机与互联网 书籍,49.00
Python程序设计 第3版 Python入门教程书籍,49.50
【新版】Python程序设计第3版  Python3 爬虫Python核心编程基础教程,55.50
Python项目开发实战(第2版)/图灵程序设计丛书,57.67
Web接口开发与自动化测试——基于Python语言 虫师著 电子工业出版社,48.80
包邮 量化交易之路+量化投资+零起点Python大数据与量化交易 3本,214.80
机器学习实战（python基础教程指南）+机器学习（机器学习套装共两册）,119.50
Python数据分析与数据化运营,72.30
现货  Python数据分析从入门到精通  张啸宇，李静   电子工业出版,52.50
Python高性能编程 Python高性能编程,67.00
包邮 Python神经网络编程 深度学习机器学习人工智能书籍 神经网络编程入门教程书 预售,51.80
Python数据科学手册,77.40
父与子的编程之旅 与小卡特一起学Python 教孩子编程的图书 python编程入门教程,46.00
编程语言实现模式,61.20
正版包邮 Python高效开发实战:Django、Tornado、Flask、Twiste,61.56
Python3程序开发指南(第2版 修订版) 计算机与互联网 书籍,43.50
利用Python进行数据分析,64.10
Python可以这样学,49.70
高性能Python(影印版) 计算机与互联网 书籍,56.90
易学Python 计算机与互联网 书籍,32.90
Python物理学高效计算,69.30
Python数据科学指南 计算机与互联网 书籍,52.90
包邮 Python数据分析入门+Python 3网络爬虫开发实战 2本  预售,120.10
教孩子学编程+父与子的编程之旅:与小卡特一起学PythonPython语言版python y,95.60
机器人Python青少年编程开发实例,41.30
零起点Python大数据与量化交易 大数据分析量化投资策略书籍 实盘交易手册 Python,77.00
从零开始学Python网络爬虫 罗攀 蒋仟,37.20
Python计算与编程实践 多媒体方法(原书第2版) 埃里克森 计算机与互联网 书籍,53.80
零基础学Python(图文版) 计算机与互联网 书籍,46.20
Python可以这样学 董付国 计算机与互联网 书籍,49.40
正版 Python程序设计入门到实战 特级讲师带你轻松学Python 何敏煌 Python,55.20
教孩子学编程+趣学Python+父与子的编程之旅 全3册 教孩子编程的图书 python,130.90
区域包邮TZPython机器学习及实践+实用机械学习+大战机械学习+深入浅出深度学习 机械,207.40
Python基础教程（3版）图灵程序设计丛书R3S,72.30
正版 软件架构 Python语言实现 Python软件架构框架开发设计教程书籍 j3c,59.50
Python算法教程  人民邮电出版社R3S,50.10
Flask Web开发 基于Python的Web应用开发实战 [美]格林布戈 R3S,43.10
Python和Pygame游戏开发指南R3S,43.10
MLS 精通Python爬虫框架Scrapy  R3S,43.10
Python数据挖掘入门与实践R3S,43.10
Selenium自动化测试 基于 Python 语言R3S,35.80
Python高性能编程 机器学习实践应用,58.60
Python核心编程 第3版,72.30
Python 3网络爬虫开发实战+Python网络爬虫从入门到实践 python语言编程教程书r3c,108.00
正版 Python学习手册：第4版（涵盖Python2.6和3.X）,77.00
Python开发向导 肖睿盛鸿宇主编 计算机与互联网 书籍,31.70
跟老齐学Python 轻松入门 齐伟编 计算机与互联网 书籍,37.80
Python物理学高效计算,63.40
PYTHON地理空间分析指南(第2版) 计算机与互联网,64.80
基于ArcGIS的Python编程秘笈(第2版),44.20
Python3.5从零开始学,39.00
正版现货 Head First Python(第二版) （美）保罗·巴里（Paul Bar,108.80
Python机器学习 学习实战 python基础教程指南 数据结构与算法分析 人工神经网络,62.40
Python机器学习 预测分析核心算法 Python开发程序设计教材 Python语言编程,51.00
Python高性能编程 python编程教程书籍 python核心编程 python编程技,55.30
Python计算机视觉编程 核心编程设计开发基础教程 动态脚本语言教材 python高手之,49.60
跟老齐学Python 轻松入门 齐伟Python入门书籍 python核心编程技术pyth,46.00
Python Cookbook(中文版 第3版) 计算机与互联网 书籍,65.90
Python：统计人的视角/统计数据分析与应用丛书,27.00
零基础入门学习Python 小甲鱼计算机/网络 程序设计 零基础学编程基础学习教程,32.80
Selenium自动化测试 基于 Python 语言,41.70
PyQt5快速开发与实战,76.30
Python机器学习实践：测试驱动的开发方法,46.60
父与子的编程之旅 与小卡特一起学Python 计算机与互联网 书籍,50.90
Python编程从入门到实践python3.0绝技核心编程基础教程网络爬虫入门书籍,62.00
流利的Python语言（影印版 英文版）,93.10
趣学Python编程,38.30
Python数据分析基础 python入门基础教程 利用Python进行数据分,49.30
图灵程序设计丛书·Flask Web开发：基于Python的Web应用开发实战,50.20
Python基础教程+利用Python进行数据分析 Python学习套装 共两册 (第2,153.70
Python核心编程 第3版(第3版) 美卫斯理春 计算机与互联网 书籍,65.10
零起点Python足彩大数据与机器学习实盘分析,77.80
Python数据挖掘入门与实践,50.20
Python数据可视化,58.00
Python核心编程第3版 python开发大全 python入门到精通书籍 python,79.20
Python黑帽子：黑客与渗透测试编程之道/Python编程/Python编程指南/黑客/,43.00
利用Python进行数据分析 pandas数据结构入门介绍 数据聚合与分组运算 数据挖掘,66.50
Python地理数据处理,62.30
包邮 Python程序设计基础 计算机等级考试二级推荐教材 计算机/网络 程序设计 其他本科研究生,29.80
Python高性能编程,67.20
Python数据处理 Python进行爬虫抓取数据清洗与分析方法 轻松实现高效,70.70
深入浅出深度学习：原理剖析与Python实践,55.70
Python自动化运维：技术与最佳实践,57.80
Python数据处理,84.20
Python爬虫开发与项目实战,62.40
Effective Python：编写高质量Python代码的59个有效方法,44.70
Python机器学习算法,52.90
Python袖珍指南（第5版）,29.10
Python Web开发实战 python搭建web服务器 Python编程实,78.50
Python与数据挖掘,41.20
Python网络数据采集 计算机与互联网 书籍,40.10
零基础入门学习Python 实用·好玩·参与 程序设计核心编程学习手册,35.00
零基础学Python,66.40
Python金融实战,62.00
Python数据挖掘入门与实践 python数据分析算法导论基础教程书 pyt,42.10
Python语言在Abaqus中的应用（附CD-ROM光盘1张）,39.60
Python编程快速上手 Python编程从入门到实践python3.0编程从入门到实践,45.50
Python数据分析与挖掘实战 张良均等 计算机与互联网 书籍,45.80
Python语言及其应用,67.20
毫无障碍学Python,45.70
Python机器学习 预测分析核心算法,58.70
Python 3学习笔记（上卷）,70.10
精通Python网络爬虫：核心技术、框架与项目实战,48.30
Python 网络爬虫实战,45.80
Python机器学习,61.20
Python基础教程(第2版 修订版) 计算机与互联网 书籍,69.00
Python网络编程（第3版）,67.20
趣学Python：教孩子学编程,50.20
Python 3程序开发指南（第2版 修订版）,54.40
Python机器学习经典实例,50.20
Python高级编程 第2版,62.80
PySpark实战指南：利用Python和Spark构建数据密集型应用并规模化部署,35.00
Python大战机器学习：数据科学家的第一个小目标,48.70
用Python写网络爬虫 python爬虫 编程入门教程书籍 数据抓取技术框架Scran,32.10
Python Qt GUI快速编程：PyQt编程指南,62.30
Python地理空间分析指南（第2版）,62.30
像计算机科学家一样思考Python 第2版,41.70
Web接口开发与自动化测试——基于Python语言,46.00
正版现货  Python物理建模初学者指南,45.40
正版现货  从零开始学Python网络爬虫,46.00
正版现货  精通Python自然语言处理,45.40
现货 流畅的Python 编程教程书籍 人民邮电出版社,104.20
Python机器学习基础教程 机器学习实战套装2册python基础教程从入门到实践机器学,119.90
